date,Open,High,Low,Close,Adjusted_Close,Volume,Dividend_Amount,Split_Coefficient,MAMA,FAMA,TRIX,CMO,MACD,MACD_Signal,MACD_Hist,MIDPOINT,APO,T3,MIDPRICE,KAMA,TRIMA,MFI,ATR,WILLR,NATR,DEMA,ROC,DX,Aroon Down,Aroon Up,Chaikin A/D,TRANGE,ADOSC,OBV,WMA,ULTOSC,AROONOSC,TEMA,ADXR,MOM,BOP,SAR,PPO,ROCR,Forward_Return,Return_Target
6/14/2022,96.82,97.84,95.22,96.24,94.49279318,959587,0.76,1,106.5958,97.684,-0.0124,-27.3474,2.0099,2.1142,-0.1043,101.9402,2.0099,102.9123,101.6781,104.8367,105.1201,41.9875,3.155,-93.8836,3.3389,102.0127,-6.1442,35.744,100,70,315009650.6,2.5724,-1129635.946,144386977,103.4745,31.7044,-30,101.2639,19.3003,-6.1859,-0.2214,109.46,1.9577,0.9386,-0.012364921,0
6/15/2022,97.28,97.71,93.47,95.05,93.32439725,1235088,0,1,106.4631,97.7279,-0.0267,-29.7987,1.1728,2.1068,-0.934,101.356,1.1728,103.0049,100.819,104.091,105.1215,36.4381,3.2054,-91.4253,3.4347,100.3615,-10.383,39.2446,100,65,314695052.8,4.163,-1197282.694,143151889,102.5032,30.8861,-35,99.0139,19.6801,-10.8125,-0.5259,108.9809,1.1454,0.8962,-0.079957917,0
6/16/2022,91.83,91.95,86.92,87.45,85.86237285,2321847,0,1,106.2571,97.7706,-0.0517,-42.7779,-0.0902,1.9503,-2.0405,97.625,-0.0902,102.9639,97.6035,102.3885,104.8926,34.9449,3.4443,-97.878,4.0114,97.5924,-15.4283,49.9809,100,60,312862501.5,7.9824,-1699196.958,140830042,100.8727,22.5115,-40,95.256,20.3968,-15.6638,-0.8708,108.2926,-0.0886,0.8457,0.002515723,0
6/17/2022,87.07,88.93,85.94,87.67,86.07837882,2209674,0,1,106.0553,97.812,-0.0836,-41.978,-1.3118,1.6101,-2.9219,97.625,-1.3118,102.7733,97.1224,101.0034,104.4064,33.0993,3.4188,-93.335,3.9718,95.2585,-14.3693,51.3353,100,55,313209841.6,2.9357,-1639535.778,143039716,99.3373,25.0246,-45,92.2703,21.3034,-14.4444,0.2007,107.1451,-1.2943,0.8563,0.029998859,1
6/21/2022,89.93,90.53,87.93,90.3,88.660632,1459333,0,1,105.8814,97.8524,-0.1177,-32.6284,-2.5923,1.0856,-3.6779,97.625,-2.5923,102.4404,97.1224,100.372,103.6777,38.616,3.3883,-83.2026,3.8216,93.7331,-10.7365,44.6061,95,50,314410984.9,2.8081,-1083898.261,144499049,98.1167,30.1777,-45,90.5464,21.9965,-10.664,0.1423,105.7792,-2.5672,0.8926,-0.013953488,0
6/22/2022,87.68,89.93,87.68,89.04,87.42350691,1487241,0,1,105.6968,97.8916,-0.1536,-34.7939,-3.7561,0.3967,-4.1528,97.625,-3.7561,101.9738,97.1224,99.4662,102.6658,34.1984,3.3475,-88.0569,3.8291,92.214,-13.0985,45.0082,90,45,314721653,2.5724,-659206.8509,143011808,96.8291,34.9215,-45,88.8745,22.7566,-13.1772,0.6044,104.4952,-3.7381,0.869,-0.029649596,0
6/23/2022,88.57,89.81,86.09,86.4,84.83143527,1686879,0,1,105.4881,97.9296,-0.1919,-39.1103,-5.119,-0.476,-4.643,97.1095,-5.119,101.3773,97.1224,98.1766,101.3776,33.2333,3.3628,-98.2278,3.964,90.4567,-16.0005,47.5573,85,40,313315920.5,3.6525,-872820.0831,141324929,95.3573,33.7614,-45,86.8996,23.3524,-16.159,-0.5833,103.2883,-5.1256,0.84,0.070023148,1
6/24/2022,86.97,92.54,86.95,92.45,90.77159943,1789523,0,1,105.341,97.9666,-0.2261,-19.9551,-6.1563,-1.4751,-4.6812,97.1095,-6.1563,100.6844,97.1224,97.8522,99.9042,35.8576,3.496,-74.9194,3.8515,90.0449,-11.0283,36.1511,80,35,315047820.3,6.0285,-329801.0327,143114452,94.5282,43.3798,-45,86.8957,23.3327,-11.2514,0.9803,102.1538,-6.1961,0.8897,-0.001081666,0
6/27/2022,92.86,93.06,91.71,92.35,90.6734149,1111086,0,1,105.1943,98.0028,-0.2563,-20.1464,-7.0524,-2.5439,-4.5085,97.1095,-7.0524,99.9235,97.1224,97.3509,98.3166,36.6164,3.3875,-75.3047,3.7359,89.6965,-13.7915,34.0731,75,30,314990208.4,1.3255,-96006.0121,142003366,93.7433,43.9657,-45,86.9403,23.136,-14.5058,-0.3778,101.0873,-7.128,0.8621,-0.007471576,0
6/28/2022,93.02,93.87,91.05,91.66,89.99594163,1805689,0,1,105.0423,98.038,-0.2831,-21.509,-7.9567,-3.6513,-4.3053,97.1095,-7.9567,99.1169,97.1224,96.6849,96.7322,32.0104,3.3566,-77.963,3.7297,89.2973,-15.7312,30.7999,70,25,313965704,2.7688,-317613.4471,140197677,92.963,49.3513,-45,86.8701,22.755,-16.8004,-0.4823,100.0849,-8.075,0.8427,-0.004909448,0
